func_name, unoptimized ifs, optimized ifs
test_nn_adaptive_avg_pool1d, 0, 0
test_nn_adaptive_avg_pool2d, 0, 0
test_nn_adaptive_avg_pool3d, 0, 0
test_nn_adaptive_max_pool1d, 0, 0
test_nn_adaptive_max_pool2d, 0, 0
test_nn_adaptive_max_pool3d, 0, 0
test_nn_affine_grid, 5, 0
test_nn_alpha_dropout, 3, 0
test_nn_avg_pool1d, 0, 0
test_nn_avg_pool2d, 0, 0
test_nn_avg_pool3d, 0, 0
test_nn_batch_norm, 2, 0
test_nn_bilinear, 0, 0
test_nn_binary_cross_entropy, 19, 2
test_nn_binary_cross_entropy_size_average, 19, 2
test_nn_binary_cross_entropy_with_logits, 17, 1
test_nn_celu, 1, 0
test_nn_celu_inplace, 1, 0
test_nn_conv1d, 0, 0
test_nn_conv2d, 0, 0
test_nn_conv3d, 0, 0
test_nn_conv_tbc, 0, 0
test_nn_conv_transpose1d, 0, 0
test_nn_conv_transpose2d, 0, 0
test_nn_conv_transpose3d, 0, 0
test_nn_cosine_embedding_loss, 16, 0
test_nn_cosine_similarity, 0, 0
test_nn_cross_entropy, 39, 1
test_nn_dropout, 3, 0
test_nn_dropout2d, 3, 0
test_nn_dropout3d, 3, 0
test_nn_elu, 1, 0
test_nn_elu_inplace, 1, 0
test_nn_embedding, 6, 0
test_nn_embedding_bag, 19, 5
test_nn_feature_alpha_dropout, 3, 0
test_nn_fractional_max_pool2d, 4, 0
test_nn_glu, 1, 0
test_nn_grid_sample, 8, 0
test_nn_group_norm, 0, 0
test_nn_gumbel_softmax, 2, 0
test_nn_gumbel_softmax_hard, 2, 0
test_nn_hardshrink, 0, 0
test_nn_hardtanh, 1, 0
test_nn_hardtanh_inplace, 1, 0
test_nn_hinge_embedding_loss, 16, 0
test_nn_instance_norm, 0, 0
test_nn_interpolate_area_3d, 0, 0
test_nn_interpolate_area_3d_with_scale, 0, 0
test_nn_interpolate_area_3d_with_size, 0, 0
test_nn_interpolate_area_4d, 0, 0
test_nn_interpolate_area_4d_with_scale, 0, 0
test_nn_interpolate_area_4d_with_size, 0, 0
test_nn_interpolate_area_5d, 0, 0
test_nn_interpolate_area_5d_with_scale, 0, 0
test_nn_interpolate_area_5d_with_size, 0, 0
