dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,BertForMaskedLM,64,2.336414,7.137205,1.880892,9.123183,3.721436,1.203185,0.263640,3.958836
cuda,BertForMaskedLM,64,2.194654,5.275565,1.820970,7.648535,5.274041,1.251422,0.247836,4.466200
cuda,BertForMaskedLM,64,2.234999,6.395698,1.846691,9.559347,5.087707,1.591982,0.296219,5.283764
cuda,MT5ForConditionalGeneration,2,4.207335,7.196724,3.160178,11.726561,6.350733,2.074529,0.481296,8.113895
cuda,DebertaForMaskedLM,4,6.155931,7.537393,2.713109,10.950321,4.091598,2.073279,0.297996,6.325826
cuda,DebertaForMaskedLM,4,6.156901,7.913999,2.825964,9.275944,3.736796,1.795025,0.303256,20.080050,24.497555
cuda,MegatronBertForQuestionAnswering,8,4.347489,14.474655,3.735900,15.997439,6.693750,2.057680,0.591802,18.989206,24.423826
cuda,MegatronBertForQuestionAnswering,8,4.375061,13.199529,3.785782,14.805821,7.278641,2.058082,0.585804,5.555880
cuda,MegatronBertForQuestionAnswering,8,4.390788,9.589308,3.765761,10.642246,6.727542,2.057868,0.585796,0.000017,4.995864
cuda,MegatronBertForQuestionAnswering,8,4.350614,9.697971,3.806392,11.294540,7.327614,2.047285,0.588329,5.565845
cuda,MegatronBertForQuestionAnswering,8,4.391994,9.731280,3.840289,11.261806,7.286890,2.081172,0.592656,5.534083
